"receiver_player_id","receiver_player_name","posteam","position","targets","receptions","avg_receiving_epa","receiving_success_rate","receiving_yards","avg_air_yards","avg_yac","receiving_touchdowns","rushing_plays","avg_rushing_epa","rushing_success_rate","rushing_yards","avg_yards_per_rush","rushing_touchdowns"
"00-0037261","K.Shakir","BUF","WR",97,72,0.0773415673204167,0.43298969072165,686,3.67368421052632,7.05555555555556,4,0,0,0,0,0,0
"00-0038976","M.Mims","DEN","WR",51,37,0.0685339902377776,0.411764705882353,322,9.37254901960784,6.24324324324324,1,12,0.428724420654665,0.583333333333333,78,6.5,1
"00-0039915","L.McConkey","LAC","WR",106,66,0.0682568632499329,0.490566037735849,789,9.86792452830189,4.6969696969697,6,0,0,0,0,0,0
"00-0039337","M.Nabers","NYG","WR",35,18,0.065968243600837,0.457142857142857,271,15.8571428571429,2.88888888888889,2,0,0,0,0,0,0
"00-0032211","T.Lockett","LV","WR",35,22,0.0619005151341861,0.485714285714286,221,7.82352941176471,2.31818181818182,1,0,0,0,0,0,0
"00-0033857","J.Smith-Schuster","KC","WR",45,33,0.0582461244881984,0.644444444444444,345,5.42222222222222,5.78787878787879,2,0,0,0,0,0,0
"00-0036182","N.Westbrook-Ikhine","MIA","WR",20,11,0.0581069770269096,0.45,89,5.5,2.54545454545455,0,0,0,0,0,0,0
"00-0040129","E.Egbuka","TB","WR",128,63,0.055805804509296,0.421875,938,12.3779527559055,5.31746031746032,6,0,0,0,0,0,0
"00-0036309","D.Mooney","ATL","WR",72,32,0.0509432987704112,0.375,443,14.1527777777778,2.28125,1,0,0,0,0,0,0
"00-0038559","M.Wilson","ARI","WR",67,37,0.0382377953252626,0.477611940298507,547,12.9242424242424,3.86486486486486,6,0,0,0,0,0,0
"00-0039451","I.Williams","NYJ","WR",36,26,0.032813176288904,0.444444444444444,193,3.38888888888889,4.57692307692308,0,0,0,0,0,0,0
"00-0040705","C.Dike","TEN","WR",74,48,0.0211653137712967,0.418918918918919,423,8.09459459459459,4.58333333333333,4,11,-0.384968864408703,0.181818181818182,18,1.63636363636364,0
"00-0037231","K.Austin","NO","WR",23,13,0.0148369541934442,0.347826086956522,140,8.30434782608696,4.30769230769231,1,0,0,0,0,0,0
"00-0040782","I.Bond","CLE","WR",44,18,-0.0182842168630696,0.318181818181818,317,17.0681818181818,3.22222222222222,0,0,0,0,0,0,0
"00-0036259","J.Jennings","SF","WR",93,55,-0.0244214531802363,0.483870967741935,643,10.0555555555556,3.29090909090909,10,0,0,0,0,0,0
"00-0037740","G.Wilson","NYJ","WR",60,36,-0.0344188008025603,0.4,395,9.06779661016949,2.77777777777778,5,0,0,0,0,0,0
"00-0036550","R.Bateman","BAL","WR",39,19,-0.0429681983184013,0.461538461538462,224,12.3157894736842,2.05263157894737,2,0,0,0,0,0,0
"00-0035359","D.Sills","ATL","WR",36,18,-0.0494453138932521,0.416666666666667,191,11.2222222222222,3.11111111111111,2,0,0,0,0,0,0
"00-0040718","T.Hunter","JAX","WR",45,28,-0.051268669223203,0.444444444444444,298,7.86666666666667,5,1,0,0,0,0,0,0
"00-0032385","S.Shepard","TB","WR",54,39,-0.0523456574194138,0.462962962962963,371,8.54716981132075,3.82051282051282,1,0,0,0,0,0,0
"00-0037614","J.Metchie","NYJ","WR",44,29,-0.0547560355084282,0.409090909090909,256,5.95454545454545,4.41379310344828,2,0,0,0,0,0,0
"00-0036626","D.Brown","JAX","WR",37,20,-0.0563221673130928,0.405405405405405,227,14,1.55,1,0,0,0,0,0,0
"00-0035208","O.Zaccheaus","CHI","WR",66,39,-0.057512010485648,0.439393939393939,313,7.10769230769231,3.53846153846154,2,0,0,0,0,0,0
"00-0039342","X.Legette","CAR","WR",64,35,-0.0637940819174193,0.390625,363,9.890625,2.14285714285714,3,0,0,0,0,0,0
"00-0040729","J.Bech","LV","WR",29,20,-0.0700193488451352,0.482758620689655,224,8.27586206896552,3.4,0,0,0,0,0,0,0
"00-0037837","C.Austin","PIT","WR",55,31,-0.0752869031977781,0.436363636363636,372,11,4.12903225806452,3,0,0,0,0,0,0
"00-0034983","H.Renfrow","CAR","WR",26,15,-0.0770323008579961,0.384615384615385,89,7.46153846153846,1.6,2,0,0,0,0,0,0
"00-0035298","S.Miller","PIT","WR",14,9,-0.0791067673605972,0.428571428571429,62,5.28571428571429,3.44444444444444,0,0,0,0,0,0,0
"00-0036322","J.Jefferson","MIN","WR",142,84,-0.0973850861690402,0.492957746478873,1048,10.1985815602837,5.36904761904762,4,0,0,0,0,0,0
"00-0034272","M.Valdes-Scantling","PIT","WR",21,10,-0.0975778245483525,0.428571428571429,80,12.6666666666667,2.4,1,0,0,0,0,0,0
"00-0040170","E.Ayomanor","TEN","WR",89,41,-0.107816893218607,0.404494382022472,515,12.6516853932584,2.80487804878049,5,0,0,0,0,0,0
"00-0033943","J.Reynolds","NYJ","WR",22,11,-0.110100371775672,0.454545454545455,101,13.1428571428571,1.27272727272727,0,0,0,0,0,0,0
"00-0037545","R.Shaheed","SEA","WR",26,15,-0.137196248092901,0.5,188,11.7307692307692,2.2,0,11,-0.0160637489117851,0.454545454545455,86,7.81818181818182,0
"00-0039890","A.Mitchell","NYJ","WR",58,24,-0.142070672825612,0.344827586206897,301,14.551724137931,1.20833333333333,2,0,0,0,0,0,0
"00-0039880","M.Washington","MIA","WR",65,46,-0.151167035127856,0.4,317,5.18461538461538,5.5,3,17,0.00688202852410648,0.470588235294118,110,6.47058823529412,1
"00-0040164","J.Lane","WAS","WR",32,16,-0.1766152448646,0.40625,225,13.34375,2.4375,0,0,0,0,0,0,0
"00-0039920","M.Corley","CLE","WR",14,11,-0.230272526129348,0.357142857142857,79,-0.5,6.18181818181818,0,13,0.562824585210854,0.769230769230769,127,9.76923076923077,0
"00-0034854","K.Hodge","ATL","WR",10,3,-0.279216202942175,0.4,31,15,3,0,0,0,0,0,0,0
"00-0036407","J.Jeudy","CLE","WR",106,50,-0.304768429226628,0.358490566037736,602,12.1509433962264,3.32,2,0,0,0,0,0,0
